,avg_sdr,median_sdr,avg_r2,median_r2,mean_rmse,median_rmse
speech,9.10211579127299,-3.0105331540107727,0.4633832366306378,0.33332160115242,0.06840831674594196,0.07952920299999999
noise,0.5220061632466712,-3.1717756390571594,0.45572954544479644,0.3419334590435028,0.0706064602216935,0.078067305
