,speech
66,"{'sdr': 5.723393559455872, 'r2': 0.7888220250606537, 'rmse': 0.029095804}"
67,"{'sdr': 2.7582311630249023, 'r2': 0.6536078453063965, 'rmse': 0.040934402}"
68,"{'sdr': 3.647795617580414, 'r2': 0.6984525620937347, 'rmse': 0.03694964}"
69,"{'sdr': 3.5015350580215454, 'r2': 0.6913113594055176, 'rmse': 0.0375771}"
70,"{'sdr': 3.3506810665130615, 'r2': 0.6838501989841461, 'rmse': 0.038235426}"
71,"{'sdr': 4.675635099411011, 'r2': 0.7458513081073761, 'rmse': 0.032826018}"
72,"{'sdr': 2.6608234643936157, 'r2': 0.6485512554645538, 'rmse': 0.041396044}"
73,"{'sdr': 5.19058883190155, 'r2': 0.7676649987697601, 'rmse': 0.030936461}"
74,"{'sdr': 4.138207733631134, 'r2': 0.7216892242431641, 'rmse': 0.034921236}"
75,"{'sdr': 4.566022455692291, 'r2': 0.741037130355835, 'rmse': 0.033242896}"
76,"{'sdr': 4.009698927402496, 'r2': 0.7157076299190521, 'rmse': 0.03544174}"
77,"{'sdr': 2.3018157482147217, 'r2': 0.6294859647750854, 'rmse': 0.043142892}"
78,"{'sdr': 1.3350343704223633, 'r2': 0.5762725174427032, 'rmse': 0.048222344}"
79,"{'sdr': 2.3395274579524994, 'r2': 0.6315090358257294, 'rmse': 0.042955983}"
80,"{'sdr': 3.0802589654922485, 'r2': 0.6702367961406708, 'rmse': 0.03944455}"
81,"{'sdr': 3.340403139591217, 'r2': 0.6833383440971375, 'rmse': 0.038280703}"
82,"{'sdr': 2.4944303929805756, 'r2': 0.6397700309753418, 'rmse': 0.042196702}"
83,"{'sdr': 2.0665839314460754, 'r2': 0.6167670786380768, 'rmse': 0.044327255}"
84,"{'sdr': 3.931403160095215, 'r2': 0.7120255827903748, 'rmse': 0.035762664}"
85,"{'sdr': 4.663846492767334, 'r2': 0.7453359365463257, 'rmse': 0.032870606}"
86,"{'sdr': 2.837100923061371, 'r2': 0.6577458083629608, 'rmse': 0.040564388}"
87,"{'sdr': 3.836802840232849, 'r2': 0.7075371742248535, 'rmse': 0.036154293}"
88,"{'sdr': 2.7868464589118958, 'r2': 0.6551361680030823, 'rmse': 0.04079977}"
89,"{'sdr': 3.0541646480560303, 'r2': 0.6689073741436005, 'rmse': 0.03956323}"
90,"{'sdr': 5.867236256599426, 'r2': 0.7942901700735092, 'rmse': 0.028617932}"
91,"{'sdr': 3.580218553543091, 'r2': 0.6951642632484436, 'rmse': 0.037238237}"
92,"{'sdr': 2.877379059791565, 'r2': 0.6598313748836517, 'rmse': 0.04037672}"
93,"{'sdr': 4.559570252895355, 'r2': 0.740748941898346, 'rmse': 0.033267606}"
94,"{'sdr': 7.338331341743469, 'r2': 0.8441865146160126, 'rmse': 0.024159253}"
95,"{'sdr': 2.5810658931732178, 'r2': 0.644353836774826, 'rmse': 0.041777913}"
96,"{'sdr': 3.3585405349731445, 'r2': 0.6842416226863861, 'rmse': 0.038200848}"
97,"{'sdr': 4.527232348918915, 'r2': 0.7393193542957306, 'rmse': 0.03339169}"
98,"{'sdr': 7.819128632545471, 'r2': 0.858200341463089, 'rmse': 0.022858284}"
99,"{'sdr': 2.3818160593509674, 'r2': 0.6337719857692719, 'rmse': 0.042747352}"
100,"{'sdr': 4.159175157546997, 'r2': 0.7226572930812836, 'rmse': 0.03483705}"
101,"{'sdr': 3.081141710281372, 'r2': 0.6702814996242523, 'rmse': 0.03944055}"
102,"{'sdr': 2.14738667011261, 'r2': 0.6211548745632172, 'rmse': 0.0439168}"
103,"{'sdr': 3.1363636255264282, 'r2': 0.6730856001377106, 'rmse': 0.03919059}"
104,"{'sdr': 3.0009302496910095, 'r2': 0.6661863327026367, 'rmse': 0.03980646}"
105,"{'sdr': 3.8924866914749146, 'r2': 0.71018385887146, 'rmse': 0.035923257}"
106,"{'sdr': 4.032111167907715, 'r2': 0.7167561948299408, 'rmse': 0.035350405}"
107,"{'sdr': 4.226373136043549, 'r2': 0.7257486283779144, 'rmse': 0.034568563}"
108,"{'sdr': 5.11894166469574, 'r2': 0.7647087723016739, 'rmse': 0.031192698}"
109,"{'sdr': 2.912653684616089, 'r2': 0.6616514325141907, 'rmse': 0.040213075}"
110,"{'sdr': 7.3325759172439575, 'r2': 0.8440118730068207, 'rmse': 0.024175266}"
