snr_level,avg_sdr,avg_r2,avg_rmse,median_sdr,median_r2,median_rmse
-20,-1.197873594999752,0.43141885451318446,0.06473094,-1.289021298289299,0.4263363480567932,0.06523056
-10,0.7070746537522047,0.5385712411888104,0.052301306,0.5761587992310524,0.5331176370382309,0.052624993
0,4.133434939327689,0.7136713464807849,0.035692558,3.9662140607833862,0.7136660218238831,0.03561962
10,6.562967283922226,0.8151227330543133,0.026710657,6.5253061056137085,0.8179484456777573,0.026529845
20,6.763490639494342,0.8188270594718872,0.026318852,6.835885047912598,0.8283552378416061,0.025597984
