,speech
65,"{'sdr': -1.8331801891326904, 'r2': 0.396013081073761, 'rmse': 0.06944788}"
66,"{'sdr': -1.2252556532621384, 'r2': 0.4299287796020508, 'rmse': 0.064753436}"
67,"{'sdr': -1.5686509013175964, 'r2': 0.4106120467185974, 'rmse': 0.06736473}"
68,"{'sdr': -1.2282805889844894, 'r2': 0.42976319789886475, 'rmse': 0.06477598}"
69,"{'sdr': -1.4270111918449402, 'r2': 0.4185858964920044, 'rmse': 0.06627513}"
70,"{'sdr': -1.4485757052898407, 'r2': 0.41737812757492065, 'rmse': 0.06643987}"
71,"{'sdr': -1.2779600918293, 'r2': 0.4269610047340393, 'rmse': 0.06514753}"
72,"{'sdr': -1.4733579754829407, 'r2': 0.4159908890724182, 'rmse': 0.0666297}"
73,"{'sdr': -0.8882863819599152, 'r2': 0.44904249906539917, 'rmse': 0.06228943}"
74,"{'sdr': -1.136149987578392, 'r2': 0.4349672198295593, 'rmse': 0.06409255}"
75,"{'sdr': -1.262296438217163, 'r2': 0.4278433918952942, 'rmse': 0.06503016}"
76,"{'sdr': -1.3972936570644379, 'r2': 0.4202513098716736, 'rmse': 0.06604876}"
77,"{'sdr': -1.5058545768260956, 'r2': 0.4141741394996643, 'rmse': 0.06687946}"
78,"{'sdr': -1.8209151923656464, 'r2': 0.39669811725616455, 'rmse': 0.06934989}"
79,"{'sdr': -1.6535820066928864, 'r2': 0.4059457778930664, 'rmse': 0.068026654}"
80,"{'sdr': -1.334671825170517, 'r2': 0.4237692356109619, 'rmse': 0.06557429}"
81,"{'sdr': -1.4106523990631104, 'r2': 0.41950279474258423, 'rmse': 0.06615043}"
82,"{'sdr': -1.5305863320827484, 'r2': 0.41279345750808716, 'rmse': 0.06707016}"
83,"{'sdr': -1.6098707914352417, 'r2': 0.4083750247955322, 'rmse': 0.06768518}"
84,"{'sdr': -1.158856824040413, 'r2': 0.4336850643157959, 'rmse': 0.06426032}"
85,"{'sdr': -0.6755320727825165, 'r2': 0.4611912965774536, 'rmse': 0.060782228}"
86,"{'sdr': -1.3381555676460266, 'r2': 0.4235727787017822, 'rmse': 0.06560059}"
87,"{'sdr': -0.9994399547576904, 'r2': 0.4427194595336914, 'rmse': 0.063091666}"
88,"{'sdr': -1.604195237159729, 'r2': 0.40869104862213135, 'rmse': 0.06764097}"
89,"{'sdr': -1.244792491197586, 'r2': 0.42883068323135376, 'rmse': 0.064899236}"
90,"{'sdr': -1.2793214619159698, 'r2': 0.4268827438354492, 'rmse': 0.06515775}"
91,"{'sdr': -1.0361191630363464, 'r2': 0.44063740968704224, 'rmse': 0.063358665}"
92,"{'sdr': -1.4169283211231232, 'r2': 0.4191510081291199, 'rmse': 0.06619823}"
93,"{'sdr': -1.057915985584259, 'r2': 0.43940138816833496, 'rmse': 0.06351786}"
94,"{'sdr': -1.1549834907054901, 'r2': 0.4339025020599365, 'rmse': 0.06423167}"
95,"{'sdr': -1.736488789319992, 'r2': 0.4013504385948181, 'rmse': 0.06867908}"
96,"{'sdr': -1.464196890592575, 'r2': 0.4165036678314209, 'rmse': 0.06655947}"
97,"{'sdr': -1.219966858625412, 'r2': 0.4302312731742859, 'rmse': 0.06471402}"
98,"{'sdr': -1.116228699684143, 'r2': 0.4360958933830261, 'rmse': 0.06394572}"
99,"{'sdr': -1.5350645780563354, 'r2': 0.41254323720932007, 'rmse': 0.06710474}"
100,"{'sdr': -1.5534377098083496, 'r2': 0.4115177392959595, 'rmse': 0.067246854}"
101,"{'sdr': -1.0839632898569107, 'r2': 0.4379236698150635, 'rmse': 0.063708626}"
102,"{'sdr': -1.6233210265636444, 'r2': 0.4076268672943115, 'rmse': 0.06779007}"
103,"{'sdr': -1.2377990782260895, 'r2': 0.42922502756118774, 'rmse': 0.06484701}"
104,"{'sdr': -1.4107534289360046, 'r2': 0.4194965958595276, 'rmse': 0.066151194}"
105,"{'sdr': -1.3901622593402863, 'r2': 0.4206520915031433, 'rmse': 0.06599456}"
106,"{'sdr': -0.9790078550577164, 'r2': 0.4438813328742981, 'rmse': 0.06294342}"
107,"{'sdr': -0.8064169436693192, 'r2': 0.4537118673324585, 'rmse': 0.061705068}"
108,"{'sdr': -1.0354609787464142, 'r2': 0.44067418575286865, 'rmse': 0.06335386}"
109,"{'sdr': -1.45392045378685, 'r2': 0.41707855463027954, 'rmse': 0.06648076}"
110,"{'sdr': -1.0540572553873062, 'r2': 0.43961936235427856, 'rmse': 0.06348964}"
111,"{'sdr': -1.0681506246328354, 'r2': 0.4388205409049988, 'rmse': 0.06359274}"
112,"{'sdr': -1.1798061430454254, 'r2': 0.4324951767921448, 'rmse': 0.064415485}"
113,"{'sdr': -1.1861032247543335, 'r2': 0.4321432113647461, 'rmse': 0.06446221}"
114,"{'sdr': -1.8706859648227692, 'r2': 0.3939492702484131, 'rmse': 0.06974841}"
115,"{'sdr': -1.5145833790302277, 'r2': 0.4136865735054016, 'rmse': 0.0669467}"
116,"{'sdr': -1.1069493740797043, 'r2': 0.43662363290786743, 'rmse': 0.06387744}"
117,"{'sdr': -0.8017221838235855, 'r2': 0.4539891481399536, 'rmse': 0.06167173}"
118,"{'sdr': -1.548309177160263, 'r2': 0.4118046164512634, 'rmse': 0.06720716}"
119,"{'sdr': -1.2578168511390686, 'r2': 0.42808598279953003, 'rmse': 0.06499664}"
120,"{'sdr': -0.5093448236584663, 'r2': 0.47071319818496704, 'rmse': 0.059630338}"
121,"{'sdr': -1.5390770137310028, 'r2': 0.4123193025588989, 'rmse': 0.06713576}"
122,"{'sdr': -1.4371711015701294, 'r2': 0.4180167317390442, 'rmse': 0.06635268}"
123,"{'sdr': -1.065564900636673, 'r2': 0.43897175788879395, 'rmse': 0.06357381}"
124,"{'sdr': -1.061330884695053, 'r2': 0.4391986131668091, 'rmse': 0.06354284}"
125,"{'sdr': -1.4360420405864716, 'r2': 0.4180787205696106, 'rmse': 0.06634407}"
126,"{'sdr': -1.1363930255174637, 'r2': 0.43495476245880127, 'rmse': 0.06409434}"
127,"{'sdr': -1.1235633492469788, 'r2': 0.43567126989364624, 'rmse': 0.063999735}"
128,"{'sdr': -1.3137370347976685, 'r2': 0.42494654655456543, 'rmse': 0.06541643}"
129,"{'sdr': -1.3800770044326782, 'r2': 0.4212203025817871, 'rmse': 0.065917976}"
130,"{'sdr': -1.2277715653181076, 'r2': 0.42978978157043457, 'rmse': 0.06477219}"
131,"{'sdr': -1.2313279509544373, 'r2': 0.42958998680114746, 'rmse': 0.06479871}"
132,"{'sdr': -1.0739953815937042, 'r2': 0.4384898543357849, 'rmse': 0.06363554}"
133,"{'sdr': -1.5104469656944275, 'r2': 0.41392046213150024, 'rmse': 0.06691483}"
134,"{'sdr': -1.112591102719307, 'r2': 0.4363020062446594, 'rmse': 0.06391894}"
135,"{'sdr': -1.147800236940384, 'r2': 0.43434906005859375, 'rmse': 0.06417856}"
136,"{'sdr': -0.9584388136863708, 'r2': 0.4450506567955017, 'rmse': 0.062794544}"
137,"{'sdr': -1.0779017210006714, 'r2': 0.4382675886154175, 'rmse': 0.06366416}"
138,"{'sdr': -1.327073723077774, 'r2': 0.4241962432861328, 'rmse': 0.065516956}"
139,"{'sdr': -1.4557170867919922, 'r2': 0.41697800159454346, 'rmse': 0.066494524}"
140,"{'sdr': -0.762031227350235, 'r2': 0.4562460780143738, 'rmse': 0.06139055}"
141,"{'sdr': -0.9649868309497833, 'r2': 0.44467824697494507, 'rmse': 0.062841915}"
142,"{'sdr': -1.4307981729507446, 'r2': 0.41837382316589355, 'rmse': 0.06630403}"
143,"{'sdr': -1.0330861806869507, 'r2': 0.4408096671104431, 'rmse': 0.06333654}"
144,"{'sdr': -1.6068609058856964, 'r2': 0.4085422158241272, 'rmse': 0.067661725}"
145,"{'sdr': -1.2596729397773743, 'r2': 0.4279915690422058, 'rmse': 0.065010525}"
146,"{'sdr': -0.9896044433116913, 'r2': 0.44327861070632935, 'rmse': 0.06302027}"
147,"{'sdr': -1.6965241730213165, 'r2': 0.4035634994506836, 'rmse': 0.0683638}"
148,"{'sdr': -1.2893642485141754, 'r2': 0.4263184070587158, 'rmse': 0.06523314}"
149,"{'sdr': -1.672816127538681, 'r2': 0.4048770070075989, 'rmse': 0.06817746}"
150,"{'sdr': -1.3299095630645752, 'r2': 0.4240369200706482, 'rmse': 0.06553835}"
151,"{'sdr': 4.867134690284729, 'r2': 0.7541154474020004, 'rmse': 0.03211022}"
152,"{'sdr': -0.7837089151144028, 'r2': 0.45500802993774414, 'rmse': 0.061543968}"
153,"{'sdr': -1.4232055842876434, 'r2': 0.4187988042831421, 'rmse': 0.0662461}"
154,"{'sdr': -1.12958125770092, 'r2': 0.43531692028045654, 'rmse': 0.06404409}"
155,"{'sdr': -1.2800665199756622, 'r2': 0.42684227228164673, 'rmse': 0.065163344}"
156,"{'sdr': -1.4094160497188568, 'r2': 0.4195716977119446, 'rmse': 0.06614101}"
157,"{'sdr': -1.3972897827625275, 'r2': 0.42025214433670044, 'rmse': 0.066048734}"
158,"{'sdr': -2.0031647384166718, 'r2': 0.38669317960739136, 'rmse': 0.07082037}"
159,"{'sdr': -1.999940574169159, 'r2': 0.3868664503097534, 'rmse': 0.07079409}"
160,"{'sdr': -1.5636570751667023, 'r2': 0.4109485149383545, 'rmse': 0.06732601}"
161,"{'sdr': -0.5258206278085709, 'r2': 0.46976739168167114, 'rmse': 0.05974355}"
162,"{'sdr': -2.100096046924591, 'r2': 0.38140708208084106, 'rmse': 0.07161514}"
163,"{'sdr': -0.8569913357496262, 'r2': 0.45082712173461914, 'rmse': 0.062065396}"
164,"{'sdr': -0.9524456411600113, 'r2': 0.4453820586204529, 'rmse': 0.06275124}"
165,"{'sdr': -1.3736216723918915, 'r2': 0.42158061265945435, 'rmse': 0.06586901}"
166,"{'sdr': -1.1209341883659363, 'r2': 0.4358241558074951, 'rmse': 0.06398036}"
167,"{'sdr': -0.9060468524694443, 'r2': 0.4480321407318115, 'rmse': 0.062416922}"
168,"{'sdr': -1.2837988138198853, 'r2': 0.4266319274902344, 'rmse': 0.06519135}"
169,"{'sdr': -1.26929372549057, 'r2': 0.4274492859840393, 'rmse': 0.065082565}"
170,"{'sdr': -1.1660075932741165, 'r2': 0.43327856063842773, 'rmse': 0.06431324}"
171,"{'sdr': -1.3516105711460114, 'r2': 0.42281705141067505, 'rmse': 0.0657023}"
172,"{'sdr': -1.0413546860218048, 'r2': 0.44034045934677124, 'rmse': 0.063396856}"
173,"{'sdr': -1.3789080083370209, 'r2': 0.4212709665298462, 'rmse': 0.0659091}"
174,"{'sdr': -1.5639565885066986, 'r2': 0.4109315276145935, 'rmse': 0.067328334}"
175,"{'sdr': 0.9583871066570282, 'r2': 0.5549414455890656, 'rmse': 0.050359417}"
176,"{'sdr': -0.9407670050859451, 'r2': 0.4460560083389282, 'rmse': 0.06266692}"
177,"{'sdr': 0.31890779733657837, 'r2': 0.5181727707386017, 'rmse': 0.05420691}"
178,"{'sdr': -0.6009598821401596, 'r2': 0.46546220779418945, 'rmse': 0.060262613}"
179,"{'sdr': -1.013721376657486, 'r2': 0.4419092535972595, 'rmse': 0.06319549}"
180,"{'sdr': -0.9851836413145065, 'r2': 0.44353002309799194, 'rmse': 0.0629882}"
181,"{'sdr': -1.0375603288412094, 'r2': 0.4405573606491089, 'rmse': 0.06336918}"
182,"{'sdr': -1.8112894892692566, 'r2': 0.39721912145614624, 'rmse': 0.06927308}"
183,"{'sdr': -0.9020527452230453, 'r2': 0.44825881719589233, 'rmse': 0.06238823}"
184,"{'sdr': -1.5429379045963287, 'r2': 0.4121043086051941, 'rmse': 0.0671656}"
185,"{'sdr': -1.4204661548137665, 'r2': 0.41895270347595215, 'rmse': 0.0662252}"
186,"{'sdr': -1.601213961839676, 'r2': 0.4088561534881592, 'rmse': 0.067617744}"
187,"{'sdr': -1.0072503238916397, 'r2': 0.4422764182090759, 'rmse': 0.06314843}"
188,"{'sdr': -1.5650241076946259, 'r2': 0.41087204217910767, 'rmse': 0.067336604}"
189,"{'sdr': -1.8826696276664734, 'r2': 0.3932921290397644, 'rmse': 0.06984471}"
190,"{'sdr': -1.5799908339977264, 'r2': 0.41003841161727905, 'rmse': 0.06745273}"
191,"{'sdr': 0.5359525606036186, 'r2': 0.5308124423027039, 'rmse': 0.052869156}"
192,"{'sdr': -0.929902046918869, 'r2': 0.4466741681098938, 'rmse': 0.06258858}"
193,"{'sdr': -1.372552365064621, 'r2': 0.42164063453674316, 'rmse': 0.0658609}"
194,"{'sdr': -1.1154381185770035, 'r2': 0.43614089488983154, 'rmse': 0.06393989}"
195,"{'sdr': -1.6729877889156342, 'r2': 0.40486860275268555, 'rmse': 0.0681788}"
196,"{'sdr': -1.342913806438446, 'r2': 0.42330610752105713, 'rmse': 0.06563653}"
197,"{'sdr': -0.7904043793678284, 'r2': 0.45462775230407715, 'rmse': 0.061591424}"
198,"{'sdr': -1.3783255219459534, 'r2': 0.42131656408309937, 'rmse': 0.065904684}"
199,"{'sdr': -0.8365645259618759, 'r2': 0.45199233293533325, 'rmse': 0.06191962}"
200,"{'sdr': -1.2460687011480331, 'r2': 0.428760826587677, 'rmse': 0.06490878}"
201,"{'sdr': -1.201915442943573, 'r2': 0.43124955892562866, 'rmse': 0.064579666}"
202,"{'sdr': -1.2650203704833984, 'r2': 0.42769014835357666, 'rmse': 0.06505056}"
203,"{'sdr': -1.9223406910896301, 'r2': 0.3911132216453552, 'rmse': 0.07016444}"
204,"{'sdr': -1.4442497491836548, 'r2': 0.41761958599090576, 'rmse': 0.066406794}"
205,"{'sdr': -1.2169093638658524, 'r2': 0.4304034113883972, 'rmse': 0.06469123}"
206,"{'sdr': -1.5723662078380585, 'r2': 0.41046321392059326, 'rmse': 0.06739355}"
207,"{'sdr': -1.2284015119075775, 'r2': 0.42975521087646484, 'rmse': 0.06477688}"
208,"{'sdr': -1.26552015542984, 'r2': 0.42766183614730835, 'rmse': 0.0650543}"
209,"{'sdr': -1.0761061310768127, 'r2': 0.4383694529533386, 'rmse': 0.063651}"
210,"{'sdr': -0.7214809954166412, 'r2': 0.4585632085800171, 'rmse': 0.061104618}"
211,"{'sdr': -1.1227265745401382, 'r2': 0.4357277750968933, 'rmse': 0.063993566}"
212,"{'sdr': -0.7569234818220139, 'r2': 0.4565373659133911, 'rmse': 0.061354466}"
213,"{'sdr': -1.5322880446910858, 'r2': 0.41269779205322266, 'rmse': 0.0670833}"
214,"{'sdr': -1.024833396077156, 'r2': 0.44127678871154785, 'rmse': 0.06327639}"
215,"{'sdr': -1.6099360585212708, 'r2': 0.4083711504936218, 'rmse': 0.067685686}"
216,"{'sdr': -1.6328917443752289, 'r2': 0.4070948362350464, 'rmse': 0.0678648}"
217,"{'sdr': -1.768278032541275, 'r2': 0.39959293603897095, 'rmse': 0.068930894}"
218,"{'sdr': -0.7101356983184814, 'r2': 0.4592117667198181, 'rmse': 0.061024867}"
219,"{'sdr': -0.203777477145195, 'r2': 0.48827236890792847, 'rmse': 0.05756903}"
220,"{'sdr': -0.8325162529945374, 'r2': 0.45222270488739014, 'rmse': 0.061890762}"
221,"{'sdr': -1.3205154240131378, 'r2': 0.42455607652664185, 'rmse': 0.0654675}"
222,"{'sdr': -1.8867434561252594, 'r2': 0.3930665850639343, 'rmse': 0.06987747}"
223,"{'sdr': -1.2074604630470276, 'r2': 0.43093574047088623, 'rmse': 0.06462091}"
224,"{'sdr': -0.7547044008970261, 'r2': 0.45667171478271484, 'rmse': 0.0613388}"
225,"{'sdr': -1.3330361247062683, 'r2': 0.4238610863685608, 'rmse': 0.06556194}"
226,"{'sdr': -1.2155838310718536, 'r2': 0.43047869205474854, 'rmse': 0.06468137}"
227,"{'sdr': -1.4642541110515594, 'r2': 0.4165002107620239, 'rmse': 0.06655991}"
228,"{'sdr': -1.2815472483634949, 'r2': 0.42675894498825073, 'rmse': 0.065174446}"
229,"{'sdr': -1.5937544405460358, 'r2': 0.4092715382575989, 'rmse': 0.06755971}"
230,"{'sdr': -1.2855497002601624, 'r2': 0.42653191089630127, 'rmse': 0.06520449}"
231,"{'sdr': -0.9582402557134628, 'r2': 0.44506198167800903, 'rmse': 0.06279311}"
232,"{'sdr': -1.635657250881195, 'r2': 0.4069419503211975, 'rmse': 0.06788642}"
233,"{'sdr': -1.2035062909126282, 'r2': 0.431160032749176, 'rmse': 0.06459149}"
234,"{'sdr': -1.3973209261894226, 'r2': 0.4202505946159363, 'rmse': 0.066048965}"
235,"{'sdr': -1.4780700206756592, 'r2': 0.41572701930999756, 'rmse': 0.06666586}"
236,"{'sdr': -1.0904499888420105, 'r2': 0.4375563859939575, 'rmse': 0.06375621}"
237,"{'sdr': -1.059182733297348, 'r2': 0.43932944536209106, 'rmse': 0.063527115}"
238,"{'sdr': -0.4275146499276161, 'r2': 0.4754098653793335, 'rmse': 0.05907119}"
239,"{'sdr': -1.4412683248519897, 'r2': 0.4177876114845276, 'rmse': 0.066384}"
240,"{'sdr': -1.2726174294948578, 'r2': 0.4272620677947998, 'rmse': 0.06510748}"
241,"{'sdr': -1.4904066920280457, 'r2': 0.41503721475601196, 'rmse': 0.066760615}"
242,"{'sdr': -1.03330098092556, 'r2': 0.4407970905303955, 'rmse': 0.0633381}"
243,"{'sdr': -1.7370757460594177, 'r2': 0.40131741762161255, 'rmse': 0.06868372}"
244,"{'sdr': -1.4150770008563995, 'r2': 0.41925448179244995, 'rmse': 0.06618413}"
245,"{'sdr': -1.697750836610794, 'r2': 0.4034959673881531, 'rmse': 0.06837346}"
246,"{'sdr': -1.2473753094673157, 'r2': 0.4286845326423645, 'rmse': 0.06491854}"
247,"{'sdr': -1.342328041791916, 'r2': 0.4233385920524597, 'rmse': 0.06563213}"
248,"{'sdr': -1.2037833034992218, 'r2': 0.4311434030532837, 'rmse': 0.064593546}"
249,"{'sdr': -1.162455603480339, 'r2': 0.43348073959350586, 'rmse': 0.06428694}"
250,"{'sdr': -0.9814012795686722, 'r2': 0.44374507665634155, 'rmse': 0.06296077}"
251,"{'sdr': -2.1221308410167694, 'r2': 0.380215585231781, 'rmse': 0.07179705}"
252,"{'sdr': -1.3705101609230042, 'r2': 0.421753466129303, 'rmse': 0.065845415}"
253,"{'sdr': -1.6514141857624054, 'r2': 0.40606629848480225, 'rmse': 0.06800967}"
254,"{'sdr': -1.542578637599945, 'r2': 0.41212451457977295, 'rmse': 0.06716283}"
255,"{'sdr': -1.5265201032161713, 'r2': 0.4130200743675232, 'rmse': 0.06703877}"
256,"{'sdr': -1.4897426962852478, 'r2': 0.41507452726364136, 'rmse': 0.06675552}"
257,"{'sdr': -1.2859229743480682, 'r2': 0.42651230096817017, 'rmse': 0.065207295}"
258,"{'sdr': -1.076367124915123, 'r2': 0.4383532404899597, 'rmse': 0.06365292}"
259,"{'sdr': 0.5456870049238205, 'r2': 0.5313701629638672, 'rmse': 0.05280994}"
260,"{'sdr': -1.3649426400661469, 'r2': 0.42206770181655884, 'rmse': 0.06580322}"
261,"{'sdr': -1.815047562122345, 'r2': 0.3970121145248413, 'rmse': 0.06930306}"
262,"{'sdr': -0.5407684296369553, 'r2': 0.4689106345176697, 'rmse': 0.059846457}"
263,"{'sdr': 0.45475710183382034, 'r2': 0.5261536538600922, 'rmse': 0.053365696}"
264,"{'sdr': -1.0994069278240204, 'r2': 0.43704867362976074, 'rmse': 0.063821994}"
265,"{'sdr': -0.8397355675697327, 'r2': 0.4518113136291504, 'rmse': 0.06194222}"
266,"{'sdr': -1.3786295056343079, 'r2': 0.42129653692245483, 'rmse': 0.06590699}"
267,"{'sdr': -1.2522600591182709, 'r2': 0.42840951681137085, 'rmse': 0.06495506}"
268,"{'sdr': -1.5122734010219574, 'r2': 0.41381561756134033, 'rmse': 0.06692889}"
269,"{'sdr': -1.3871131837368011, 'r2': 0.42082327604293823, 'rmse': 0.0659714}"
270,"{'sdr': -1.36039599776268, 'r2': 0.42232125997543335, 'rmse': 0.065768786}"
271,"{'sdr': -1.1461488157510757, 'r2': 0.4344025254249573, 'rmse': 0.06416637}"
272,"{'sdr': -0.8278965204954147, 'r2': 0.45248621702194214, 'rmse': 0.06185786}"
273,"{'sdr': -1.2151910364627838, 'r2': 0.4305012822151184, 'rmse': 0.06467844}"
274,"{'sdr': -1.354205459356308, 'r2': 0.4226698875427246, 'rmse': 0.06572193}"
275,"{'sdr': -1.7012465000152588, 'r2': 0.4033079743385315, 'rmse': 0.06840099}"
276,"{'sdr': -0.940750315785408, 'r2': 0.4460567831993103, 'rmse': 0.062666796}"
