,speech
2314,"{'sdr': -1.2214354425668716, 'r2': 0.4301484227180481, 'rmse': 0.06472496}"
2315,"{'sdr': -1.2025828659534454, 'r2': 0.43121182918548584, 'rmse': 0.06458463}"
2316,"{'sdr': -1.6484759747982025, 'r2': 0.40622806549072266, 'rmse': 0.067986675}"
2317,"{'sdr': -1.2974810600280762, 'r2': 0.4258608818054199, 'rmse': 0.06529413}"
2318,"{'sdr': -0.8698853850364685, 'r2': 0.4500925540924072, 'rmse': 0.06215761}"
2319,"{'sdr': -1.6236941516399384, 'r2': 0.40760743618011475, 'rmse': 0.067792974}"
2320,"{'sdr': -0.8890528231859207, 'r2': 0.4490017890930176, 'rmse': 0.062294923}"
2321,"{'sdr': -1.5034162998199463, 'r2': 0.4143105149269104, 'rmse': 0.06686068}"
2322,"{'sdr': -1.1013556271791458, 'r2': 0.43693214654922485, 'rmse': 0.06383632}"
2323,"{'sdr': -1.6278420388698578, 'r2': 0.4073757529258728, 'rmse': 0.06782537}"
2324,"{'sdr': -1.716354638338089, 'r2': 0.4024648666381836, 'rmse': 0.06852006}"
2325,"{'sdr': -1.1887510865926743, 'r2': 0.43199414014816284, 'rmse': 0.06448187}"
2326,"{'sdr': -1.3809719681739807, 'r2': 0.4211675524711609, 'rmse': 0.06592477}"
2327,"{'sdr': -0.41492175310850143, 'r2': 0.47613316774368286, 'rmse': 0.058985613}"
2328,"{'sdr': -1.425875723361969, 'r2': 0.4186493754386902, 'rmse': 0.06626646}"
2329,"{'sdr': -1.3900619745254517, 'r2': 0.4206554889678955, 'rmse': 0.06599379}"
2330,"{'sdr': -1.2052405625581741, 'r2': 0.43106263875961304, 'rmse': 0.064604394}"
2331,"{'sdr': -1.4477281272411346, 'r2': 0.41742509603500366, 'rmse': 0.06643339}"
2332,"{'sdr': -1.1049050092697144, 'r2': 0.4367373585700989, 'rmse': 0.0638624}"
2333,"{'sdr': -1.1144055426120758, 'r2': 0.43620026111602783, 'rmse': 0.0639323}"
2334,"{'sdr': -1.246645376086235, 'r2': 0.4287257194519043, 'rmse': 0.064913094}"
2335,"{'sdr': -0.8183933794498444, 'r2': 0.45302844047546387, 'rmse': 0.061790206}"
2336,"{'sdr': -1.389198899269104, 'r2': 0.42070794105529785, 'rmse': 0.06598724}"
2337,"{'sdr': -1.5544088184833527, 'r2': 0.41146111488342285, 'rmse': 0.06725436}"
2338,"{'sdr': -1.2546385824680328, 'r2': 0.4282752275466919, 'rmse': 0.064972855}"
2339,"{'sdr': -1.4084120094776154, 'r2': 0.41962844133377075, 'rmse': 0.066133365}"
2340,"{'sdr': -1.0837134718894958, 'r2': 0.4379386305809021, 'rmse': 0.063706785}"
2341,"{'sdr': -0.8834068477153778, 'r2': 0.44932085275650024, 'rmse': 0.06225444}"
2342,"{'sdr': -1.4563320577144623, 'r2': 0.4169437289237976, 'rmse': 0.066499226}"
2343,"{'sdr': -1.6678604483604431, 'r2': 0.4051564931869507, 'rmse': 0.06813858}"
2344,"{'sdr': -1.4241428673267365, 'r2': 0.4187459349632263, 'rmse': 0.06625324}"
2345,"{'sdr': -1.0208287090063095, 'r2': 0.4415051341056824, 'rmse': 0.06324722}"
2346,"{'sdr': -1.4403609931468964, 'r2': 0.41783738136291504, 'rmse': 0.06637706}"
2347,"{'sdr': -0.8289942145347595, 'r2': 0.45242369174957275, 'rmse': 0.06186567}"
2348,"{'sdr': -0.8839640021324158, 'r2': 0.4492807984352112, 'rmse': 0.062258437}"
2349,"{'sdr': -1.5682438015937805, 'r2': 0.4106926918029785, 'rmse': 0.06736157}"
2350,"{'sdr': -1.6810452938079834, 'r2': 0.40442144870758057, 'rmse': 0.06824208}"
2351,"{'sdr': -1.4277774095535278, 'r2': 0.41854119300842285, 'rmse': 0.066280976}"
2352,"{'sdr': -1.3928839564323425, 'r2': 0.42049914598464966, 'rmse': 0.06601524}"
2353,"{'sdr': -1.7287835478782654, 'r2': 0.40177685022354126, 'rmse': 0.06861817}"
2354,"{'sdr': -0.7443308085203171, 'r2': 0.4572663903236389, 'rmse': 0.06126558}"
2355,"{'sdr': -1.5607312321662903, 'r2': 0.41111165285110474, 'rmse': 0.06730334}"
2356,"{'sdr': -1.6409815847873688, 'r2': 0.406646192073822, 'rmse': 0.06792805}"
2357,"{'sdr': -1.1854508519172668, 'r2': 0.4321647882461548, 'rmse': 0.06445737}"
2358,"{'sdr': -1.4916320145130157, 'r2': 0.41496962308883667, 'rmse': 0.06677003}"
2359,"{'sdr': -1.5891261398792267, 'r2': 0.40952974557876587, 'rmse': 0.06752371}"
2360,"{'sdr': -0.8239170163869858, 'r2': 0.4527117609977722, 'rmse': 0.061829522}"
2361,"{'sdr': -1.3661512732505798, 'r2': 0.42200028896331787, 'rmse': 0.06581238}"
2362,"{'sdr': -0.8978220075368881, 'r2': 0.44850093126296997, 'rmse': 0.062357847}"
2363,"{'sdr': -1.3477115333080292, 'r2': 0.42303621768951416, 'rmse': 0.0656728}"
2364,"{'sdr': -1.8561561405658722, 'r2': 0.39474838972091675, 'rmse': 0.06963182}"
2365,"{'sdr': -1.2421850115060806, 'r2': 0.428977370262146, 'rmse': 0.06487977}"
2366,"{'sdr': -1.7357534170150757, 'r2': 0.40139108896255493, 'rmse': 0.06867326}"
2367,"{'sdr': -1.4117981493473053, 'r2': 0.41943174600601196, 'rmse': 0.06615915}"
2368,"{'sdr': -1.1515427380800247, 'r2': 0.4340931177139282, 'rmse': 0.06420622}"
2369,"{'sdr': -1.5463203191757202, 'r2': 0.4119148254394531, 'rmse': 0.067191765}"
2370,"{'sdr': -1.1340158432722092, 'r2': 0.43508899211883545, 'rmse': 0.0640768}"
2371,"{'sdr': 8.868863582611084, 'r2': 0.8851474449038506, 'rmse': 0.020256147}"
2372,"{'sdr': -1.2320058047771454, 'r2': 0.4295521378517151, 'rmse': 0.064803764}"
2373,"{'sdr': -1.2562485039234161, 'r2': 0.4281843900680542, 'rmse': 0.0649849}"
2374,"{'sdr': -0.9991127997636795, 'r2': 0.4427386522293091, 'rmse': 0.063089296}"
2375,"{'sdr': -1.3448955118656158, 'r2': 0.4231944680213928, 'rmse': 0.06565152}"
2376,"{'sdr': -1.4170825481414795, 'r2': 0.4191414713859558, 'rmse': 0.06619943}"
2377,"{'sdr': -1.0231506824493408, 'r2': 0.44137418270111084, 'rmse': 0.063264124}"
2378,"{'sdr': -1.3322949409484863, 'r2': 0.4239029288291931, 'rmse': 0.06555635}"
2379,"{'sdr': -1.3387402892112732, 'r2': 0.42354053258895874, 'rmse': 0.065605015}"
2380,"{'sdr': -0.8243084698915482, 'r2': 0.4526907801628113, 'rmse': 0.061832316}"
2381,"{'sdr': 0.01288966741412878, 'r2': 0.5007382333278656, 'rmse': 0.056150746}"
2382,"{'sdr': -1.3082243502140045, 'r2': 0.42525696754455566, 'rmse': 0.06537492}"
2383,"{'sdr': -1.6443650424480438, 'r2': 0.40645503997802734, 'rmse': 0.0679545}"
2384,"{'sdr': -1.0986701399087906, 'r2': 0.4370914101600647, 'rmse': 0.063816585}"
2385,"{'sdr': -1.288549154996872, 'r2': 0.42633652687072754, 'rmse': 0.06522701}"
2386,"{'sdr': -1.3117435574531555, 'r2': 0.42505669593811035, 'rmse': 0.06540142}"
2387,"{'sdr': -1.7735537886619568, 'r2': 0.3993023633956909, 'rmse': 0.068972774}"
2388,"{'sdr': -1.391308456659317, 'r2': 0.42058640718460083, 'rmse': 0.06600327}"
2389,"{'sdr': -1.357269287109375, 'r2': 0.42249584197998047, 'rmse': 0.0657451}"
2390,"{'sdr': -1.8205970525741577, 'r2': 0.39670634269714355, 'rmse': 0.069347344}"
2391,"{'sdr': -1.337120682001114, 'r2': 0.423630952835083, 'rmse': 0.06559278}"
2392,"{'sdr': -1.264084130525589, 'r2': 0.4277428388595581, 'rmse': 0.06504355}"
2393,"{'sdr': -1.3810937106609344, 'r2': 0.42116111516952515, 'rmse': 0.065925695}"
2394,"{'sdr': -1.6590452194213867, 'r2': 0.40564197301864624, 'rmse': 0.06806946}"
2395,"{'sdr': -1.5713319182395935, 'r2': 0.4105207920074463, 'rmse': 0.067385525}"
2396,"{'sdr': -1.2126946449279785, 'r2': 0.4306414723396301, 'rmse': 0.064659856}"
2397,"{'sdr': -1.0228027403354645, 'r2': 0.44139373302459717, 'rmse': 0.063261606}"
2398,"{'sdr': -1.2064842879772186, 'r2': 0.43099266290664673, 'rmse': 0.06461364}"
2399,"{'sdr': -0.8488067984580994, 'r2': 0.4512939453125, 'rmse': 0.06200694}"
2400,"{'sdr': -1.6392585635185242, 'r2': 0.4066939353942871, 'rmse': 0.06791457}"
2401,"{'sdr': -1.4606964588165283, 'r2': 0.41669899225234985, 'rmse': 0.06653266}"
2402,"{'sdr': -0.7317032665014267, 'r2': 0.45797669887542725, 'rmse': 0.061176583}"
2403,"{'sdr': -1.190948709845543, 'r2': 0.43187010288238525, 'rmse': 0.06449817}"
2404,"{'sdr': -1.0878968983888626, 'r2': 0.43769580125808716, 'rmse': 0.063737474}"
2405,"{'sdr': -0.7192784547805786, 'r2': 0.4586811661720276, 'rmse': 0.061089132}"
2406,"{'sdr': -1.1703982204198837, 'r2': 0.4330313205718994, 'rmse': 0.06434575}"
2407,"{'sdr': -1.7905564606189728, 'r2': 0.3983628749847412, 'rmse': 0.06910792}"
2408,"{'sdr': -1.147870421409607, 'r2': 0.4343014359474182, 'rmse': 0.064179085}"
2409,"{'sdr': -1.338517963886261, 'r2': 0.42355310916900635, 'rmse': 0.06560333}"
2410,"{'sdr': -1.0490473359823227, 'r2': 0.4399039149284363, 'rmse': 0.063453026}"
2411,"{'sdr': -1.4197373390197754, 'r2': 0.41900086402893066, 'rmse': 0.06621965}"
2412,"{'sdr': -1.6394783556461334, 'r2': 0.4067290425300598, 'rmse': 0.06791629}"
2413,"{'sdr': -1.1114411801099777, 'r2': 0.4363666772842407, 'rmse': 0.06391047}"
2414,"{'sdr': -1.8183514475822449, 'r2': 0.39683103561401367, 'rmse': 0.06932942}"
2415,"{'sdr': -0.691598430275917, 'r2': 0.4602711796760559, 'rmse': 0.060894772}"
2416,"{'sdr': -1.322220116853714, 'r2': 0.4244691729545593, 'rmse': 0.06548036}"
2417,"{'sdr': -0.10026541538536549, 'r2': 0.49422842264175415, 'rmse': 0.05688703}"
2418,"{'sdr': -1.3256147503852844, 'r2': 0.42427849769592285, 'rmse': 0.065505944}"
2419,"{'sdr': 4.257432520389557, 'r2': 0.7271696031093597, 'rmse': 0.034445178}"
2420,"{'sdr': -1.352946162223816, 'r2': 0.4227420687675476, 'rmse': 0.0657124}"
2421,"{'sdr': -1.4759501814842224, 'r2': 0.41584479808807373, 'rmse': 0.06664959}"
2422,"{'sdr': -1.3872075080871582, 'r2': 0.42081600427627563, 'rmse': 0.065972105}"
2423,"{'sdr': -1.349208801984787, 'r2': 0.42295169830322266, 'rmse': 0.06568413}"
2424,"{'sdr': -1.1234068125486374, 'r2': 0.43568938970565796, 'rmse': 0.06399858}"
2425,"{'sdr': -1.1396138370037079, 'r2': 0.43477094173431396, 'rmse': 0.064118095}"
2426,"{'sdr': -1.4575865864753723, 'r2': 0.4168732762336731, 'rmse': 0.06650884}"
2427,"{'sdr': -1.168052777647972, 'r2': 0.43316221237182617, 'rmse': 0.06432838}"
2428,"{'sdr': -1.1211643368005753, 'r2': 0.4358200430870056, 'rmse': 0.06398207}"
2429,"{'sdr': -1.3746362924575806, 'r2': 0.42152321338653564, 'rmse': 0.06587669}"
2430,"{'sdr': -0.23599280044436455, 'r2': 0.4864186644554138, 'rmse': 0.05778294}"
2431,"{'sdr': -0.6493750214576721, 'r2': 0.46268826723098755, 'rmse': 0.060599472}"
2432,"{'sdr': -1.2868893146514893, 'r2': 0.42645978927612305, 'rmse': 0.06521454}"
2433,"{'sdr': -1.6743665933609009, 'r2': 0.4047919511795044, 'rmse': 0.06818963}"
2434,"{'sdr': -1.1668981611728668, 'r2': 0.4332290291786194, 'rmse': 0.064319834}"
2435,"{'sdr': -0.5386920273303986, 'r2': 0.4690304398536682, 'rmse': 0.059832145}"
2436,"{'sdr': 3.440210223197937, 'r2': 0.68829545378685, 'rmse': 0.037843347}"
2437,"{'sdr': -1.289667934179306, 'r2': 0.4263020157814026, 'rmse': 0.065235406}"
2438,"{'sdr': -1.320299655199051, 'r2': 0.424577534198761, 'rmse': 0.065465875}"
2439,"{'sdr': -0.8141571283340454, 'r2': 0.4532700777053833, 'rmse': 0.061760087}"
2440,"{'sdr': -1.7826427519321442, 'r2': 0.3987996578216553, 'rmse': 0.06904498}"
2441,"{'sdr': -1.6970081627368927, 'r2': 0.40353673696517944, 'rmse': 0.0683676}"
2442,"{'sdr': -0.7750005275011063, 'r2': 0.4555054306983948, 'rmse': 0.06148229}"
2443,"{'sdr': -1.6088101267814636, 'r2': 0.40843403339385986, 'rmse': 0.0676769}"
2444,"{'sdr': -1.3942191004753113, 'r2': 0.420423686504364, 'rmse': 0.066025384}"
2445,"{'sdr': -1.4564202725887299, 'r2': 0.41693586111068726, 'rmse': 0.066499904}"
2446,"{'sdr': -1.5419848263263702, 'r2': 0.41215765476226807, 'rmse': 0.06715823}"
2447,"{'sdr': -1.1668236553668976, 'r2': 0.4332333207130432, 'rmse': 0.06431928}"
2448,"{'sdr': -1.3658250868320465, 'r2': 0.42201870679855347, 'rmse': 0.065809906}"
2449,"{'sdr': -1.1774124950170517, 'r2': 0.4326291084289551, 'rmse': 0.064397745}"
2450,"{'sdr': -1.2201190739870071, 'r2': 0.4302225708961487, 'rmse': 0.064715154}"
2451,"{'sdr': -1.6413339972496033, 'r2': 0.40662693977355957, 'rmse': 0.0679308}"
2452,"{'sdr': -1.506393849849701, 'r2': 0.41414427757263184, 'rmse': 0.06688361}"
2453,"{'sdr': -1.058047115802765, 'r2': 0.4393808841705322, 'rmse': 0.063518815}"
2454,"{'sdr': -1.8330886960029602, 'r2': 0.39601796865463257, 'rmse': 0.069447145}"
2455,"{'sdr': -0.9169165045022964, 'r2': 0.44741302728652954, 'rmse': 0.062495083}"
2456,"{'sdr': -1.0802600532770157, 'r2': 0.4381345510482788, 'rmse': 0.06368147}"
2457,"{'sdr': -1.6113291680812836, 'r2': 0.408294141292572, 'rmse': 0.06769652}"
2458,"{'sdr': -1.2902174890041351, 'r2': 0.4262700080871582, 'rmse': 0.06523954}"
2459,"{'sdr': -0.9182649105787277, 'r2': 0.44733601808547974, 'rmse': 0.06250478}"
2460,"{'sdr': -1.5464213490486145, 'r2': 0.4119132161140442, 'rmse': 0.06719254}"
2461,"{'sdr': -0.9478921443223953, 'r2': 0.44565051794052124, 'rmse': 0.06271835}"
2462,"{'sdr': -1.183808445930481, 'r2': 0.4322636127471924, 'rmse': 0.06444518}"
2463,"{'sdr': -1.1011794954538345, 'r2': 0.43694841861724854, 'rmse': 0.06383501}"
2464,"{'sdr': -2.005135416984558, 'r2': 0.3865826725959778, 'rmse': 0.07083645}"
2465,"{'sdr': -1.418454349040985, 'r2': 0.419064998626709, 'rmse': 0.06620987}"
2466,"{'sdr': -1.5121513605117798, 'r2': 0.41382235288619995, 'rmse': 0.06692796}"
2467,"{'sdr': -1.0738339275121689, 'r2': 0.4384981393814087, 'rmse': 0.06363436}"
2468,"{'sdr': 0.34692201763391495, 'r2': 0.5198061168193817, 'rmse': 0.05403235}"
2469,"{'sdr': -1.1444167792797089, 'r2': 0.43450045585632324, 'rmse': 0.06415358}"
2470,"{'sdr': -1.6166454553604126, 'r2': 0.40799832344055176, 'rmse': 0.06773798}"
2471,"{'sdr': -1.5005677938461304, 'r2': 0.41446954011917114, 'rmse': 0.06683878}"
2472,"{'sdr': -1.153114214539528, 'r2': 0.43400895595550537, 'rmse': 0.06421784}"
2473,"{'sdr': -1.5105737745761871, 'r2': 0.4139106273651123, 'rmse': 0.06691582}"
2474,"{'sdr': -1.1111445724964142, 'r2': 0.4363842010498047, 'rmse': 0.06390829}"
2475,"{'sdr': -1.100502759218216, 'r2': 0.4369761347770691, 'rmse': 0.06383005}"
2476,"{'sdr': -0.445835217833519, 'r2': 0.47435814142227173, 'rmse': 0.059195913}"
2477,"{'sdr': -1.459672749042511, 'r2': 0.4167565703392029, 'rmse': 0.06652481}"
2478,"{'sdr': -1.2234368920326233, 'r2': 0.43003445863723755, 'rmse': 0.064739875}"
2479,"{'sdr': -1.485637128353119, 'r2': 0.4153023362159729, 'rmse': 0.066723965}"
2480,"{'sdr': -1.2263277173042297, 'r2': 0.42987197637557983, 'rmse': 0.06476143}"
2481,"{'sdr': -1.1837536841630936, 'r2': 0.4322766065597534, 'rmse': 0.06444477}"
2482,"{'sdr': -1.6259227693080902, 'r2': 0.40748244524002075, 'rmse': 0.06781038}"
2483,"{'sdr': -0.41259828954935074, 'r2': 0.47626692056655884, 'rmse': 0.058969833}"
2484,"{'sdr': -1.3476648926734924, 'r2': 0.42303866147994995, 'rmse': 0.06567245}"
2485,"{'sdr': -0.9205181896686554, 'r2': 0.44720762968063354, 'rmse': 0.062521}"
2486,"{'sdr': -1.263861507177353, 'r2': 0.4277542233467102, 'rmse': 0.06504188}"
2487,"{'sdr': -1.5658129751682281, 'r2': 0.4108286499977112, 'rmse': 0.06734272}"
2488,"{'sdr': -0.91717928647995, 'r2': 0.4473976492881775, 'rmse': 0.062496975}"
2489,"{'sdr': -1.3367897272109985, 'r2': 0.4236500859260559, 'rmse': 0.065590285}"
2490,"{'sdr': -1.4671236276626587, 'r2': 0.416340172290802, 'rmse': 0.066581905}"
2491,"{'sdr': -1.4926007390022278, 'r2': 0.41491472721099854, 'rmse': 0.0667775}"
2492,"{'sdr': -1.567530333995819, 'r2': 0.4107326865196228, 'rmse': 0.06735603}"
2493,"{'sdr': -1.4856553077697754, 'r2': 0.41530460119247437, 'rmse': 0.06672411}"
2494,"{'sdr': -1.312687247991562, 'r2': 0.4250056743621826, 'rmse': 0.06540854}"
2495,"{'sdr': -0.31765736639499664, 'r2': 0.48172229528427124, 'rmse': 0.05832878}"
2496,"{'sdr': -0.6229807436466217, 'r2': 0.46419966220855713, 'rmse': 0.060415596}"
2497,"{'sdr': -0.9413868188858032, 'r2': 0.446022629737854, 'rmse': 0.06267139}"
2498,"{'sdr': -1.0620369762182236, 'r2': 0.43916720151901245, 'rmse': 0.06354799}"
2499,"{'sdr': -1.737334132194519, 'r2': 0.4013037085533142, 'rmse': 0.068685755}"
2500,"{'sdr': -1.2921057641506195, 'r2': 0.4261622428894043, 'rmse': 0.06525371}"
2501,"{'sdr': -1.6700690984725952, 'r2': 0.40503042936325073, 'rmse': 0.0681559}"
2502,"{'sdr': -1.5742634236812592, 'r2': 0.410364031791687, 'rmse': 0.06740826}"
2503,"{'sdr': -1.6849365830421448, 'r2': 0.4042084217071533, 'rmse': 0.06827266}"
2504,"{'sdr': -0.6646433472633362, 'r2': 0.4618144631385803, 'rmse': 0.060706075}"
2505,"{'sdr': -0.9736078977584839, 'r2': 0.44418805837631226, 'rmse': 0.062904306}"
2506,"{'sdr': -0.13951740227639675, 'r2': 0.4919698238372803, 'rmse': 0.057144694}"
2507,"{'sdr': -1.0602924972772598, 'r2': 0.4392692446708679, 'rmse': 0.063535236}"
2508,"{'sdr': -1.378711611032486, 'r2': 0.4212949872016907, 'rmse': 0.065907605}"
2509,"{'sdr': -1.2435735017061234, 'r2': 0.42889946699142456, 'rmse': 0.06489013}"
2510,"{'sdr': -1.4340949058532715, 'r2': 0.4181899428367615, 'rmse': 0.066329196}"
2511,"{'sdr': -0.9317145496606827, 'r2': 0.4465709924697876, 'rmse': 0.06260164}"
2512,"{'sdr': -0.9745252877473831, 'r2': 0.44413548707962036, 'rmse': 0.06291096}"
2513,"{'sdr': -1.1506100744009018, 'r2': 0.43415021896362305, 'rmse': 0.064199336}"
2514,"{'sdr': -0.9903600811958313, 'r2': 0.44323623180389404, 'rmse': 0.06302575}"
2515,"{'sdr': -1.272040456533432, 'r2': 0.4272945523262024, 'rmse': 0.06510315}"
2516,"{'sdr': -1.337849646806717, 'r2': 0.4235856533050537, 'rmse': 0.065598294}"
2517,"{'sdr': -1.1909067630767822, 'r2': 0.431870698928833, 'rmse': 0.064497866}"
2518,"{'sdr': -2.0072151720523834, 'r2': 0.3864692449569702, 'rmse': 0.070853405}"
2519,"{'sdr': -1.6338412463665009, 'r2': 0.4070432186126709, 'rmse': 0.06787222}"
2520,"{'sdr': -2.0057035982608795, 'r2': 0.38655126094818115, 'rmse': 0.07084108}"
2521,"{'sdr': -1.3529448211193085, 'r2': 0.42274194955825806, 'rmse': 0.065712385}"
2522,"{'sdr': -1.1451590806245804, 'r2': 0.43445849418640137, 'rmse': 0.06415906}"
2523,"{'sdr': -1.548335701227188, 'r2': 0.41180282831192017, 'rmse': 0.06720736}"
2524,"{'sdr': -1.2321766465902328, 'r2': 0.4295421838760376, 'rmse': 0.064805046}"
2525,"{'sdr': -1.848008781671524, 'r2': 0.3951965570449829, 'rmse': 0.06956654}"
2526,"{'sdr': -1.2750831246376038, 'r2': 0.42711591720581055, 'rmse': 0.06512596}"
2527,"{'sdr': -1.1080534011125565, 'r2': 0.43655818700790405, 'rmse': 0.063885555}"
2528,"{'sdr': -1.897515207529068, 'r2': 0.3924751877784729, 'rmse': 0.069964185}"
2529,"{'sdr': -1.3594003021717072, 'r2': 0.42237937450408936, 'rmse': 0.06576125}"
2530,"{'sdr': -1.0623295605182648, 'r2': 0.43915051221847534, 'rmse': 0.06355014}"
2531,"{'sdr': -1.0842164605855942, 'r2': 0.43790870904922485, 'rmse': 0.06371048}"
2532,"{'sdr': -1.7283926904201508, 'r2': 0.4017983675003052, 'rmse': 0.06861509}"
2533,"{'sdr': -1.6841818392276764, 'r2': 0.4042472243309021, 'rmse': 0.068266734}"
2534,"{'sdr': -1.7627282440662384, 'r2': 0.3998996615409851, 'rmse': 0.06888686}"
2535,"{'sdr': -1.4099858701229095, 'r2': 0.4195380210876465, 'rmse': 0.066145346}"
2536,"{'sdr': -0.8561842143535614, 'r2': 0.45087331533432007, 'rmse': 0.06205964}"
2537,"{'sdr': -1.2045316398143768, 'r2': 0.431102454662323, 'rmse': 0.06459911}"
2538,"{'sdr': -1.7978984117507935, 'r2': 0.39795780181884766, 'rmse': 0.069166355}"
2539,"{'sdr': -1.0489514470100403, 'r2': 0.4399093985557556, 'rmse': 0.06345233}"
2540,"{'sdr': -1.613946259021759, 'r2': 0.4081490635871887, 'rmse': 0.06771694}"
2541,"{'sdr': -1.5149131417274475, 'r2': 0.41366803646087646, 'rmse': 0.06694924}"
2542,"{'sdr': -1.2478944659233093, 'r2': 0.4286574125289917, 'rmse': 0.06492242}"
2543,"{'sdr': 0.5926882848143578, 'r2': 0.5340554714202881, 'rmse': 0.052524947}"
2544,"{'sdr': -0.9718590974807739, 'r2': 0.4442862272262573, 'rmse': 0.06289165}"
2545,"{'sdr': -1.7188093066215515, 'r2': 0.4023290276527405, 'rmse': 0.068539426}"
2546,"{'sdr': -1.161869391798973, 'r2': 0.4335134029388428, 'rmse': 0.06428261}"
2547,"{'sdr': -1.8449054658412933, 'r2': 0.3953675627708435, 'rmse': 0.06954169}"
2548,"{'sdr': -1.48938849568367, 'r2': 0.4150957465171814, 'rmse': 0.066752784}"
2549,"{'sdr': -0.9494937211275101, 'r2': 0.4455620050430298, 'rmse': 0.06272992}"
2550,"{'sdr': -1.0277099907398224, 'r2': 0.44111400842666626, 'rmse': 0.06329735}"
2551,"{'sdr': -0.9520149976015091, 'r2': 0.44541633129119873, 'rmse': 0.06274813}"
2552,"{'sdr': -1.27543106675148, 'r2': 0.4271036386489868, 'rmse': 0.06512858}"
2553,"{'sdr': -1.6664962470531464, 'r2': 0.40522825717926025, 'rmse': 0.06812786}"
2554,"{'sdr': -1.3640892505645752, 'r2': 0.4221162796020508, 'rmse': 0.06579675}"
2555,"{'sdr': -0.9998081624507904, 'r2': 0.4426990747451782, 'rmse': 0.06309434}"
2556,"{'sdr': -1.4464063942432404, 'r2': 0.4175003170967102, 'rmse': 0.066423275}"
2557,"{'sdr': -0.9466825425624847, 'r2': 0.44571930170059204, 'rmse': 0.062709615}"
2558,"{'sdr': -1.8337076902389526, 'r2': 0.3959839940071106, 'rmse': 0.06945209}"
2559,"{'sdr': -1.0113439708948135, 'r2': 0.44204431772232056, 'rmse': 0.0631782}"
2560,"{'sdr': -0.8491986989974976, 'r2': 0.4512713551521301, 'rmse': 0.06200974}"
2561,"{'sdr': -1.086222156882286, 'r2': 0.4377747178077698, 'rmse': 0.06372519}"
2562,"{'sdr': -1.5864837169647217, 'r2': 0.4096762537956238, 'rmse': 0.06750317}"
2563,"{'sdr': -1.223706528544426, 'r2': 0.4300195574760437, 'rmse': 0.06474188}"
2564,"{'sdr': -1.5333180129528046, 'r2': 0.4126400947570801, 'rmse': 0.06709125}"
2565,"{'sdr': -1.2394747138023376, 'r2': 0.4291304349899292, 'rmse': 0.064859524}"
2566,"{'sdr': -1.3908976316452026, 'r2': 0.4206113815307617, 'rmse': 0.06600015}"
2567,"{'sdr': -1.009177640080452, 'r2': 0.44216692447662354, 'rmse': 0.06316243}"
2568,"{'sdr': -1.4114445447921753, 'r2': 0.4194578528404236, 'rmse': 0.066156454}"
2569,"{'sdr': -1.5034723281860352, 'r2': 0.4143075942993164, 'rmse': 0.06686111}"
2570,"{'sdr': -1.1654973775148392, 'r2': 0.43330568075180054, 'rmse': 0.064309455}"
2571,"{'sdr': -1.8417337536811829, 'r2': 0.3955422043800354, 'rmse': 0.06951631}"
2572,"{'sdr': -1.1450929939746857, 'r2': 0.4344630241394043, 'rmse': 0.06415857}"
2573,"{'sdr': -1.5696687996387482, 'r2': 0.41061341762542725, 'rmse': 0.06737262}"
2574,"{'sdr': -1.4241138100624084, 'r2': 0.4187481999397278, 'rmse': 0.06625302}"
2575,"{'sdr': -1.1493080109357834, 'r2': 0.4342229962348938, 'rmse': 0.06418972}"
2576,"{'sdr': -1.6736218333244324, 'r2': 0.4048303961753845, 'rmse': 0.068183795}"
2577,"{'sdr': -1.122940108180046, 'r2': 0.43571460247039795, 'rmse': 0.063995145}"
2578,"{'sdr': -0.8199429512023926, 'r2': 0.45294010639190674, 'rmse': 0.06180124}"
2579,"{'sdr': -1.124221608042717, 'r2': 0.43564343452453613, 'rmse': 0.06400459}"
2580,"{'sdr': -1.7930527031421661, 'r2': 0.3982251286506653, 'rmse': 0.06912778}"
2581,"{'sdr': -0.7676589488983154, 'r2': 0.4559246301651001, 'rmse': 0.06143034}"
2582,"{'sdr': -1.7645104229450226, 'r2': 0.39980190992355347, 'rmse': 0.068900995}"
2583,"{'sdr': -1.3827699422836304, 'r2': 0.4210704565048218, 'rmse': 0.06593841}"
2584,"{'sdr': -1.0031754523515701, 'r2': 0.44250792264938354, 'rmse': 0.06311881}"
2585,"{'sdr': -1.1781325936317444, 'r2': 0.43259239196777344, 'rmse': 0.06440309}"
2586,"{'sdr': -1.126098856329918, 'r2': 0.43553775548934937, 'rmse': 0.06401842}"
2587,"{'sdr': -1.5221668779850006, 'r2': 0.41326314210891724, 'rmse': 0.06700517}"
2588,"{'sdr': -1.0279245674610138, 'r2': 0.4411017894744873, 'rmse': 0.06329892}"
2589,"{'sdr': -1.2312261760234833, 'r2': 0.4295980930328369, 'rmse': 0.06479796}"
2590,"{'sdr': -1.2230443954467773, 'r2': 0.4299883246421814, 'rmse': 0.064736955}"
2591,"{'sdr': -1.0980428010225296, 'r2': 0.4371258020401001, 'rmse': 0.06381197}"
2592,"{'sdr': -1.0250972211360931, 'r2': 0.4412649869918823, 'rmse': 0.06327831}"
2593,"{'sdr': -1.371193677186966, 'r2': 0.4217166304588318, 'rmse': 0.06585059}"
2594,"{'sdr': -1.5444821119308472, 'r2': 0.41201794147491455, 'rmse': 0.06717754}"
