,sdr,r2,rmse
1447,6.16399884223938,0.8052299469709396,0.027656682
1448,9.362871646881104,0.8962171077728271,0.019136231
1449,9.301023483276367,0.8948847874999046,0.019272976
1450,9.09996747970581,0.8904498219490051,0.0197243
1451,6.426687240600586,0.8145282417535782,0.02683278
1452,8.745610117912292,0.8822345957159996,0.02054563
1453,8.109418749809265,0.8661389946937561,0.022106962
1454,7.955138683319092,0.8619686216115952,0.022503138
1455,7.852626442909241,0.8591362684965134,0.022770299
1456,9.47779893875122,0.8986527547240257,0.018884698
1457,7.190375328063965,0.8396515846252441,0.024574306
1458,7.070060968399048,0.835887536406517,0.024917068
1459,5.033406615257263,0.7611482292413712,0.031501386
1460,7.670537829399109,0.8539961576461792,0.023252688
1461,7.368600368499756,0.8451014310121536,0.024075208
1462,8.946341872215271,0.8869515433907509,0.020076264
1463,6.937734484672546,0.8316653668880463,0.025299577
1464,5.445476174354553,0.7779680788516998,0.03004182
1465,6.821296811103821,0.8278777301311493,0.025641013
1466,4.104931056499481,0.7201479375362396,0.03505528
1467,8.058919906616211,0.8647873848676682,0.022235863
1468,7.212695479393005,0.8403434008359909,0.024511237
1469,4.503723978996277,0.7382744252681732,0.033482183
1470,6.976499557495117,0.8329114466905594,0.025186919
1471,4.447785019874573,0.7357778251171112,0.033698518
1472,4.0370625257492065,0.7169870734214783,0.035330262
1473,5.3651124238967896,0.7747544348239899,0.030321063
1474,9.701855778694153,0.9032557606697083,0.018403787
1475,7.271082401275635,0.8421386927366257,0.024347028
1476,3.840816617012024,0.70772784948349,0.036137592
1477,6.083696484565735,0.8023157715797424,0.027913557
1478,6.708279252052307,0.8241383135318756,0.025976826
1479,4.746827781200409,0.7489458620548248,0.032558065
1480,4.138945937156677,0.7217223644256592,0.034918267
1481,9.168950319290161,0.891989678144455,0.019568276
1482,5.14670193195343,0.7658613920211792,0.031093163
1483,9.1469144821167,0.8914992436766624,0.01961798
1484,4.544016420841217,0.7400676012039185,0.033327226
1485,5.265645980834961,0.7707336097955704,0.030670281
1486,7.76050329208374,0.8565493822097778,0.023013087
1487,6.626649498939514,0.8213963508605957,0.026222106
1488,7.4202704429626465,0.8466511368751526,0.023932414
1489,8.886518478393555,0.8855612725019455,0.020215016
1490,5.797283053398132,0.7916454672813416,0.02884934
1491,5.2077460289001465,0.768370196223259,0.03087541
1492,5.0889503955841064,0.763465940952301,0.03130059
1493,6.994044780731201,0.8334757387638092,0.025136095
1494,5.2275168895721436,0.7691853791475296,0.030805213
1495,4.878759980201721,0.7546143531799316,0.032067273
1496,8.946172595024109,0.8869476467370987,0.020076655
1497,4.262120723724365,0.7273840010166168,0.03442659
1498,9.015844464302063,0.8885461315512657,0.019916259
1499,4.971267580986023,0.7585371434688568,0.03172756
1500,6.7652904987335205,0.8260314613580704,0.02580688
1501,6.641688942909241,0.8219045996665955,0.02617674
1502,4.581819176673889,0.7417344450950623,0.033182498
1503,6.4436274766922,0.8151309341192245,0.0267805
1504,8.857742547988892,0.8848910853266716,0.020282097
1505,7.9202985763549805,0.8610113710165024,0.02259358
1506,6.091793775558472,0.8026084303855896,0.027887546
1507,5.322600603103638,0.7730427533388138,0.03046983
1508,9.541348814964294,0.8999776393175125,0.018747035
1509,6.9131916761398315,0.8308716118335724,0.025371168
1510,9.05105173587799,0.8893463388085365,0.019835697
1511,5.956122279167175,0.7976140379905701,0.028326564
1512,7.273930311203003,0.8422271609306335,0.024339037
1513,7.7813804149627686,0.8571393191814423,0.02295784
1514,8.19288432598114,0.8683537691831589,0.021895545
1515,9.474301934242249,0.8985797688364983,0.018892303
1516,6.365188956260681,0.812393456697464,0.027023435
1517,7.257426381111145,0.8417202830314636,0.024385333
1518,7.730035781860352,0.8556853383779526,0.023093952
1519,8.565463423728943,0.877854734659195,0.020976203
1520,9.60290253162384,0.9012462645769119,0.018614652
1521,6.899601221084595,0.8304320424795151,0.025410898
1522,8.231763243675232,0.869373619556427,0.02179776
1523,7.79813826084137,0.8576111495494843,0.02291359
1524,8.519009947776794,0.8767032474279404,0.021088682
1525,6.759429574012756,0.8258364498615265,0.025824301
1526,5.9957969188690186,0.7990796566009521,0.028197471
1527,7.134057879447937,0.8378989696502686,0.024734158
1528,4.1156005859375,0.7206426858901978,0.035012245
1529,5.796692967414856,0.7916236966848373,0.028851297
1530,7.909524440765381,0.8607131391763687,0.022621626
1531,4.2644765973091125,0.7274916768074036,0.03441725
1532,7.364698648452759,0.8449835777282715,0.024086025
1533,8.126775026321411,0.8666037917137146,0.022062834
1534,6.966562867164612,0.8325919657945633,0.02521575
1535,3.6575347185134888,0.6989237368106842,0.036908235
1536,4.8719266057014465,0.7543246299028397,0.032092504
1537,4.191717803478241,0.7241575717926025,0.034706764
1538,6.830792427062988,0.8281892240047455,0.025612995
1539,7.806298136711121,0.857838973402977,0.022892078
1540,4.217090606689453,0.7253230214118958,0.03460553
1541,8.781497478485107,0.8830890208482742,0.020460917
1542,7.4205440282821655,0.8466600030660629,0.023931656
1543,11.566046476364136,0.9348187297582626,0.014849016
1544,4.809263348579407,0.7516390979290009,0.032324873
1545,9.411585330963135,0.8972557261586189,0.01902921
1546,6.618461608886719,0.821120411157608,0.026246836
1547,7.02336311340332,0.8344070613384247,0.025051394
1548,7.078137397766113,0.8361413925886154,0.024893912
1549,4.492957890033722,0.7377956807613373,0.033523712
1550,6.350357532501221,0.8118725568056107,0.027069617
1551,4.60565447807312,0.7427825033664703,0.033091564
1552,3.848377764225006,0.7080891728401184,0.036106143
1553,8.087358474731445,0.8655510991811752,0.022163182
1554,7.931709885597229,0.8613262325525284,0.02256392
1555,7.468067407608032,0.8480735272169113,0.023801079
1556,6.456553936004639,0.8155796676874161,0.02674067
1557,6.664555072784424,0.8226802796125412,0.02610792
1558,7.332520484924316,0.8440103232860565,0.024175419
1559,6.402173042297363,0.8136858195066452,0.02690862
1560,5.981234312057495,0.7985457479953766,0.028244788
1561,10.048660039901733,0.9100126028060913,0.017683452
1562,7.994316220283508,0.8630384206771851,0.022401864
1563,8.168531060218811,0.867712214589119,0.021957025
1564,8.385148048400879,0.8733328431844711,0.021416208
1565,6.8664538860321045,0.8293533623218536,0.025508054
1566,8.012557029724121,0.8635341674089432,0.02235487
1567,8.46276044845581,0.875296413898468,0.021225696
1568,5.784187912940979,0.7911497950553894,0.02889287
